concept,concept_type,name_short,name,name_catalog,description,tags,unit,domain
ae_cap_mine,measure,Växthusgasutsläpp per capita,Växthusgasutsläpp per capita (Gruv- och stenbrottsverksamhet (kilogram per capita)),Gruv- och stenbrottsverksamhet ,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utsl_capita,kilogram per capita,
ae_cap_other,measure,Växthusgasutsläpp per capita,Växthusgasutsläpp per capita (Övrig serviceverksamhet (kilogram per capita)),Övrig serviceverksamhet ,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utsl_capita,kilogram per capita,
ae_cap_prof,measure,Växthusgasutsläpp per capita,Växthusgasutsläpp per capita (Yrkesmässig: vetenskaplig och teknisk verksamhet (kilogram per capita)),Yrkesmässig: vetenskaplig och teknisk verksamhet ,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utsl_capita,kilogram per capita,
ae_cap_def,measure,Växthusgasutsläpp per capita,Växthusgasutsläpp per capita (Offentlig förvaltning och försvar: Obligatorisk socialförsäkring (kilogram per capita)),Offentlig förvaltning och försvar: Obligatorisk socialförsäkring ,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utsl_capita,kilogram per capita,
ae_cap_real,measure,Växthusgasutsläpp per capita,Växthusgasutsläpp per capita (Fastighetsverksamhet (kilogram per capita)),Fastighetsverksamhet ,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utsl_capita,kilogram per capita,
ae_cap_total,measure,Växthusgasutsläpp per capita,Växthusgasutsläpp per capita (Totalt (kilogram per capita)),Totalt ,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utsl_capita,kilogram per capita,
ae_cap_transp,measure,Växthusgasutsläpp per capita,Växthusgasutsläpp per capita (Transport och magasinering (kilogram per capita)),Transport och magasinering ,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utsl_capita,kilogram per capita,
ae_cap_water,measure,Växthusgasutsläpp per capita,Växthusgasutsläpp per capita (Vattenförsörjning: avlopp: avfallshantering och sanering (kilogram per capita)),Vattenförsörjning: avlopp: avfallshantering och sanering ,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utsl_capita,kilogram per capita,
ae_cap_retail,measure,Växthusgasutsläpp per capita,Växthusgasutsläpp per capita (Detaljhandel: reparation av motorfordon och motorcyklar (kilogram per capita)),Detaljhandel: reparation av motorfordon och motorcyklar ,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utsl_capita,kilogram per capita,
ae_ton_food,measure,Växthusgasutsläpp,Växthusgasutsläpp (Hotell- och restaurangverksamhet (tusen ton)),Hotell- och restaurangverksamhet ,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utsl_tusen,tusen ton,
ae_ton_house,measure,Växthusgasutsläpp,Växthusgasutsläpp (Hushållens verksamhet (tusen ton)),Hushållens verksamhet ,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utsl_tusen,tusen ton,
ae_ton_exorg,measure,Växthusgasutsläpp,Växthusgasutsläpp (Verksamhet som bedrivs av extraterritoriella organisationer och organ (tusen ton)),Verksamhet som bedrivs av extraterritoriella organisationer och organ ,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utsl_tusen,tusen ton,
ae_ton_house_emp,measure,Växthusgasutsläpp,Växthusgasutsläpp (Hushållens produktion av varor och tjänster för eget bruk (tusen ton)),Hushållens produktion av varor och tjänster för eget bruk ,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utsl_tusen,tusen ton,
ae_ton_admin,measure,Växthusgasutsläpp,Växthusgasutsläpp (Förvaltnings- och stödtjänster (tusen ton)),Förvaltnings- och stödtjänster ,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utsl_tusen,tusen ton,
ae_ton_agri,measure,Växthusgasutsläpp,Växthusgasutsläpp (Jordbruk: skogsbruk och fiske (tusen ton)),Jordbruk: skogsbruk och fiske ,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utsl_tusen,tusen ton,
ae_ton_air,measure,Växthusgasutsläpp,Växthusgasutsläpp (Lufttransport (tusen ton)),Lufttransport ,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utsl_tusen,tusen ton,
ae_ton_isic,measure,Växthusgasutsläpp,Växthusgasutsläpp (Alla ISIC-aktiviteter och hushållsaktiviteter (tusen ton)),Alla ISIC-aktiviteter och hushållsaktiviteter ,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utsl_tusen,tusen ton,
ae_ton_isic_nace,measure,Växthusgasutsläpp,Växthusgasutsläpp (Alla ISIC/NACE aktiviteter (tusen ton)),Alla ISIC/NACE aktiviteter ,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utsl_tusen,tusen ton,
ae_ton_arts,measure,Växthusgasutsläpp,Växthusgasutsläpp (Konst och underhållning (tusen ton)),Konst och underhållning ,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utsl_tusen,tusen ton,
ae_ton_const,measure,Växthusgasutsläpp,Växthusgasutsläpp (Byggnation (tusen ton)),Byggnation ,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utsl_tusen,tusen ton,
ae_ton_edu,measure,Växthusgasutsläpp,Växthusgasutsläpp (Utbildning (tusen ton)),Utbildning ,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utsl_tusen,tusen ton,
ae_ton_elec,measure,Växthusgasutsläpp,Växthusgasutsläpp (El- gas- ång- och luftkonditionering (tusen ton)),El- gas- ång- och luftkonditionering ,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utsl_tusen,tusen ton,
ae_ton_finance,measure,Växthusgasutsläpp,Växthusgasutsläpp (Finans- och försäkringsverksamhet (tusen ton)),Finans- och försäkringsverksamhet ,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utsl_tusen,tusen ton,
ae_ton_health,measure,Växthusgasutsläpp,Växthusgasutsläpp (Hälso- och sjukvård samt socialt arbete (tusen ton)),Hälso- och sjukvård samt socialt arbete ,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utsl_tusen,tusen ton,
ae_ton_info,measure,Växthusgasutsläpp,Växthusgasutsläpp (Information och kommunikation (tusen ton)),Information och kommunikation ,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utsl_tusen,tusen ton,
ae_ton_land,measure,Växthusgasutsläpp,Växthusgasutsläpp (Landtransport och transport via rörledningar (tusen ton)),Landtransport och transport via rörledningar ,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utsl_tusen,tusen ton,
ae_ton_manu,measure,Växthusgasutsläpp,Växthusgasutsläpp (Tillverkningsindustrin (tusen ton)),Tillverkningsindustrin ,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utsl_tusen,tusen ton,
ae_ton_mine,measure,Växthusgasutsläpp,Växthusgasutsläpp (Gruv- och stenbrottsverksamhet (tusen ton)),Gruv- och stenbrottsverksamhet ,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utsl_tusen,tusen ton,
ae_ton_other,measure,Växthusgasutsläpp,Växthusgasutsläpp (Övrig serviceverksamhet (tusen ton)),Övrig serviceverksamhet ,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utsl_tusen,tusen ton,
ae_ton_prof,measure,Växthusgasutsläpp,Växthusgasutsläpp (Yrkesmässig: vetenskaplig och teknisk verksamhet (tusen ton)),Yrkesmässig: vetenskaplig och teknisk verksamhet ,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utsl_tusen,tusen ton,
ae_ton_def,measure,Växthusgasutsläpp,Växthusgasutsläpp (Offentlig förvaltning och försvar: Obligatorisk socialförsäkring (tusen ton)),Offentlig förvaltning och försvar: Obligatorisk socialförsäkring ,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utsl_tusen,tusen ton,
ae_ton_real,measure,Växthusgasutsläpp,Växthusgasutsläpp (Fastighetsverksamhet (tusen ton)),Fastighetsverksamhet ,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utsl_tusen,tusen ton,
ae_ton_serv,measure,Växthusgasutsläpp,Växthusgasutsläpp (Tjänster (exkluderat Transport och magasinering) (tusen ton)),Tjänster ,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utsl_tusen,tusen ton,
ae_ton_total,measure,Växthusgasutsläpp,Växthusgasutsläpp (Totalt (tusen ton)),Totalt ,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utsl_tusen,tusen ton,
